group,score,n,mean,sd,median,iqr_low,iqr_high
acc,fkre,2,55.57,2.899137802864841,55.57,54.545,56.595
acc,fkgl,2,10.39,1.0606601717798212,10.39,10.015,10.765
acc,gfi,2,13.41,1.0889444430272825,13.41,13.025,13.795
acc,smog,2,12.935,0.8838834764831844,12.935,12.6225,13.2475
acc,cli,2,10.725,0.9828784258493014,10.725,10.3775,11.0725
acc,ari,2,11.559999999999999,1.9233304448274098,11.559999999999999,10.879999999999999,12.24
aha,fkre,3,59.48,10.022978599198943,61.59,55.08,64.935
aha,fkgl,3,8.923333333333334,1.956382716477871,8.68,7.89,9.835
aha,gfi,3,12.64,2.6703370573768397,11.62,11.125,13.645
aha,smog,3,12.299999999999999,1.8793349887659725,11.48,11.225000000000001,12.965
aha,cli,3,10.26,1.6944320582425247,9.51,9.29,10.855
aha,ari,3,9.516666666666666,2.2475393952794986,8.44,8.225,10.27
bhf,fkre,2,62.5,11.440987719598343,62.5,58.455,66.545
bhf,fkgl,2,8.7,2.4748737341529154,8.7,7.825,9.575
bhf,gfi,2,11.525,2.6799347006970144,11.525,10.5775,12.4725
bhf,smog,2,11.71,1.6970562748477143,11.71,11.11,12.31
bhf,cli,2,8.985,1.3647160876900366,8.985,8.5025,9.4675
bhf,ari,2,9.09,2.4607315985291858,9.09,8.219999999999999,9.96
bwh,fkre,2,25.725,3.93858477120907,25.725,24.332500000000003,27.1175
bwh,fkgl,2,15.135,0.6293250352560277,15.135,14.9125,15.3575
bwh,gfi,2,18.314999999999998,0.6717514421272196,18.314999999999998,18.0775,18.5525
bwh,smog,2,16.75,0.4808326112068521,16.75,16.58,16.92
bwh,cli,2,14.629999999999999,0.22627416997969416,14.629999999999999,14.55,14.709999999999999
bwh,ari,2,15.89,0.08485281374238515,15.89,15.86,15.92
cleveland,fkre,3,57.36000000000001,1.5204933409916666,56.89,56.510000000000005,57.975
cleveland,fkgl,3,8.813333333333334,0.6185736280616344,8.55,8.46,9.035
cleveland,gfi,3,11.986666666666666,0.5732654998631385,11.8,11.665,12.215
cleveland,smog,3,11.883333333333333,0.40216083018281773,11.77,11.66,12.05
cleveland,cli,3,10.770000000000001,0.7969943538068515,11.21,10.530000000000001,11.23
cleveland,ari,3,9.753333333333334,1.1741095917048516,9.64,9.14,10.31
radinfo,fkre,2,41.93,12.31780012826966,41.93,37.575,46.285
radinfo,fkgl,2,13.315,4.306280297426074,13.315,11.7925,14.837499999999999
radinfo,gfi,2,16.59,4.822468247692254,16.59,14.885,18.295
radinfo,smog,2,14.945,3.0759144981614828,14.945,13.8575,16.0325
radinfo,cli,2,11.965,2.283954903232549,11.965,11.157499999999999,12.7725
radinfo,ari,2,14.645,6.781154031578992,14.645,12.2475,17.0425
stanford,fkre,4,40.2525,7.719505057536612,37.39,36.394999999999996,41.2475
stanford,fkgl,4,11.907499999999999,1.0603576440679503,12.26,11.71,12.4575
stanford,gfi,4,14.86,1.8515038932356227,15.395,14.285,15.97
stanford,smog,4,13.887500000000001,1.0892619825674015,14.195,13.685,14.3975
stanford,cli,4,13.979999999999999,1.5571127126833175,13.875,12.735,15.12
stanford,ari,4,13.1125,1.6961991824861444,12.85,11.8225,14.139999999999999
ucsf,fkre,3,54.41,2.247153755309143,54.73,53.375,55.605
ucsf,fkgl,3,9.876666666666665,0.5182984982935346,9.77,9.594999999999999,10.105
ucsf,gfi,3,13.126666666666667,0.6001111008249498,13.0,12.8,13.39
ucsf,smog,3,12.74,0.47286361670147536,12.68,12.49,12.96
ucsf,cli,3,10.933333333333332,0.6451614784945967,10.95,10.614999999999998,11.26
ucsf,ari,3,10.58,1.2971121771072847,10.98,10.055,11.305
